stock_symbol,time_stamp,open,recent_high,recent_low,close,volume
PPG,2019-06-21,115.4300,116.0900,114.5400,116.0700,2309855
PPG,2019-06-20,117.0000,117.3500,114.5000,115.1900,1506076
PPG,2019-06-19,115.1800,116.0400,114.3300,115.6600,1156626
PPG,2019-06-18,115.5000,115.7600,114.4700,114.6800,1161592
PPG,2019-06-17,116.7900,116.8200,114.7800,114.9300,1020561
PPG,2019-06-14,116.8400,116.8400,115.9100,116.5500,811514
PPG,2019-06-13,117.1900,117.5900,116.2400,116.9100,640563
PPG,2019-06-12,117.0000,117.3900,115.4100,116.9900,672389
PPG,2019-06-11,115.3300,117.3450,115.3300,116.8500,1407736
PPG,2019-06-10,114.2700,114.6950,113.4900,114.3900,1647839
PPG,2019-06-07,113.5600,114.5700,113.1300,113.9900,1858959
PPG,2019-06-06,112.9100,113.2300,112.1200,112.9900,2578390
PPG,2019-06-05,112.3800,112.7700,110.2000,112.3500,2427293
PPG,2019-06-04,109.0800,111.7200,108.7300,111.7100,2105661
PPG,2019-06-03,104.6600,107.7800,104.4400,107.7800,1647798
PPG,2019-05-31,105.9300,106.3300,104.5700,104.6500,1214635
PPG,2019-05-30,107.1600,108.1100,106.9600,107.2400,619132
PPG,2019-05-29,107.1000,107.6100,106.3300,107.1800,1200573
PPG,2019-05-28,107.5100,108.3500,107.3400,107.5100,1467966
PPG,2019-05-24,107.8700,107.9100,106.6400,107.7500,986632
PPG,2019-05-23,107.9100,107.9500,106.2300,106.8200,1499703
PPG,2019-05-22,108.2900,108.6800,107.6000,108.4800,1367446
PPG,2019-05-21,107.4300,109.1700,106.6800,109.0000,1726737
PPG,2019-05-20,110.8700,111.2800,107.4500,107.7400,1976344
PPG,2019-05-17,111.9600,112.5300,111.3700,111.7700,1676084
PPG,2019-05-16,112.6600,114.0200,112.1900,112.9200,1211191
PPG,2019-05-15,111.1700,112.5300,110.9000,111.9400,1072797
PPG,2019-05-14,111.4100,112.3000,110.8800,111.5600,759844
PPG,2019-05-13,110.5500,111.8650,110.0450,111.2500,1138393
PPG,2019-05-10,112.5500,112.9500,110.3000,112.2400,1345892
PPG,2019-05-09,112.7700,113.4600,112.0000,112.8800,1045311
PPG,2019-05-08,114.0800,114.6400,113.4500,114.0200,697255
PPG,2019-05-07,115.0400,115.3700,113.7600,114.4600,1217095
PPG,2019-05-06,116.0000,116.5100,115.0600,116.2900,815589
PPG,2019-05-03,117.2600,117.8000,116.6800,117.6300,686565
PPG,2019-05-02,115.1200,116.7700,114.8200,116.7600,809078
PPG,2019-05-01,117.9700,117.9700,115.4000,115.4700,794722
PPG,2019-04-30,117.1400,117.7200,116.2900,117.5000,894812
PPG,2019-04-29,117.9900,117.9900,116.9800,117.1100,896819
PPG,2019-04-26,116.0000,118.0500,115.2800,117.8100,905539
PPG,2019-04-25,116.3100,116.3100,115.0900,115.5300,896558
PPG,2019-04-24,117.7300,118.1000,116.4900,116.6400,1038912
PPG,2019-04-23,117.3300,118.5000,116.3800,117.6200,1819843
PPG,2019-04-22,118.6500,119.2000,116.8700,117.2400,1854946
PPG,2019-04-18,119.7800,121.2900,119.2200,119.8600,3742061
PPG,2019-04-17,118.7000,118.7700,117.1700,117.3900,1659958
PPG,2019-04-16,116.9000,118.4300,116.6300,118.4000,2004173
PPG,2019-04-15,115.8700,116.5700,115.4800,116.4700,1094146
PPG,2019-04-12,115.4000,115.7750,114.5900,115.6000,879751
PPG,2019-04-11,114.9000,115.2700,114.2500,114.5200,761906
PPG,2019-04-10,114.6600,115.2400,114.4600,114.9000,779258
PPG,2019-04-09,113.8300,114.8400,113.3500,114.2800,797542
PPG,2019-04-08,114.7800,114.8900,113.7700,114.4000,988183
PPG,2019-04-05,115.0800,115.6400,114.6200,114.9600,837802
PPG,2019-04-04,115.3400,115.9900,114.5500,115.0000,1301948
PPG,2019-04-03,115.2500,115.7100,114.1600,114.5800,1284065
PPG,2019-04-02,114.4300,115.2600,113.5200,114.2400,961913
PPG,2019-04-01,113.6200,115.0950,113.4300,114.2200,1526058
PPG,2019-03-29,112.0000,113.0000,111.9300,112.8700,1384941
PPG,2019-03-28,110.7900,112.0900,110.5200,111.7200,1691276
PPG,2019-03-27,108.6100,110.5200,108.3300,110.0800,1705752
PPG,2019-03-26,107.7000,108.5200,107.3700,108.3600,1132124
PPG,2019-03-25,107.0400,108.0300,106.5500,107.0600,1493515
PPG,2019-03-22,110.4000,110.7600,106.4800,106.6900,2509884
PPG,2019-03-21,110.6100,113.2200,110.5111,112.6400,949701
PPG,2019-03-20,110.8500,111.4800,110.2600,110.8200,1476871
PPG,2019-03-19,111.3100,112.1500,110.4000,110.9000,1520253
PPG,2019-03-18,110.2800,111.0450,109.6500,110.9500,1734553
PPG,2019-03-15,109.5200,110.5000,109.1400,110.0300,1923885
PPG,2019-03-14,111.0400,111.1200,108.9900,109.6800,1432544
PPG,2019-03-13,111.5900,111.9200,110.4100,111.3300,1524664
PPG,2019-03-12,110.3000,112.0450,110.3000,111.1500,1282707
PPG,2019-03-11,110.0300,111.3100,109.7300,111.3000,1180256
PPG,2019-03-08,109.0100,109.6600,107.8300,109.6300,1011878
PPG,2019-03-07,110.4000,110.5000,108.5900,109.8400,1039683
PPG,2019-03-06,110.8300,111.4400,110.1924,110.5500,622580
PPG,2019-03-05,111.3200,111.7800,110.7100,110.7500,859994
PPG,2019-03-04,113.0000,113.0300,109.9700,111.3600,988917
PPG,2019-03-01,112.7300,113.3095,112.0700,112.7600,848426
PPG,2019-02-28,112.1900,112.1900,111.3000,111.9700,999540
PPG,2019-02-27,111.2500,112.5000,110.9100,112.1700,610145
PPG,2019-02-26,112.0100,112.3100,111.4400,111.4700,778127
PPG,2019-02-25,112.0000,112.7000,111.2800,112.3200,1017635
PPG,2019-02-22,110.8500,111.6000,110.4300,111.4400,920568
PPG,2019-02-21,109.5300,110.2900,108.9300,110.1300,790244
PPG,2019-02-20,108.8300,110.9850,108.5000,109.7400,1022560
PPG,2019-02-19,108.5900,109.5700,108.3000,108.7300,977748
PPG,2019-02-15,108.4000,109.2100,107.6800,109.1100,1043136
PPG,2019-02-14,107.2000,108.1000,106.0350,107.2600,847899
PPG,2019-02-13,108.0000,108.9199,107.3100,107.8900,1023906
PPG,2019-02-12,105.4800,107.6800,105.1500,107.6100,1082094
PPG,2019-02-11,105.0900,105.4100,104.5300,104.7200,818001
PPG,2019-02-08,104.4600,104.8600,103.3601,104.8600,983778
PPG,2019-02-07,105.6400,106.0600,104.4200,104.8500,916136
PPG,2019-02-06,106.5100,106.7600,105.6000,106.1000,926962
PPG,2019-02-05,106.7400,107.0600,105.5900,107.0100,1204265
PPG,2019-02-04,105.6600,106.4500,104.7300,106.2600,1072812
PPG,2019-02-01,105.6400,106.4500,105.0300,105.7700,945846
PPG,2019-01-31,104.3300,105.8800,103.9700,105.4400,1466514
PPG,2019-01-30,105.0700,105.9200,104.0700,105.0500,1042746
